Cname_Mushroom,蘑菇
Cname_BALeader,BA隊長
Cname_BALeader_Child,BA成員
Cname_Prison_Boss,典獄長
Cname_Prison,近戰獄卒
Cname_Boss_Fly,蠅蠅隊長
Cname_Boss_Fly_Child,蠅蠅成員
Cname_Boss_3Shot,三槍哥
Cname_3Shot_Child,三槍弟
Cname_Boss_Arcade,暴走街機
Cname_StormCreature,風暴生物
Cname_SenorEngineer,高級工程師
MerchantName_Myst,神秘商人
Cname_Football_1,足球隊員
Cname_Vida,維達
Cname_Ghost,幽靈
Cname_SchoolBully,校霸
Cname_RPG,彌賽爾
Cname_Grenade,炸彈狂人
Cname_StormBoss3,啪啦啪啦
Cname_StormBoss2,咕嚕咕嚕
Cname_StormBoss4,比利比利
Cname_Roadblock,路障
Cname_XING,大興興
Cname_XINGS,小小興
Cname_Boss_Shot,噴子
Cname_Raider,遊蕩者
Cname_DengWolf,勞登的狗
Cname_ServerGuardian,礦長
Cname_StormBoss1,噗嚨噗嚨
Cname_StormBoss1_Child,噗嚨
Cname_StormBoss5,口口口口
Cname_SchoolBully_Child,校友
Cname_LabTestObjective,LAB測試對象
Cname_Boss_Red,????
Cname_Football_2,球員
Item_Bait1,Item_Bait1
Character_SnowPMC,煤球
Cname_Speedy_Ice,急凍團長
Cname_SpeedyChild_Ice,急凍團長成員
Cname_Snow_BigIce,大冰冰
Character_Fo,佛哥
Cname_StormVirus,風暴？
Cname_MonsterClimb,風暴蟲
EnemyPreset_Basement,內置敵人對象
