key,value
Tag_Cash,現金
Tag_NotForSell,不可售賣
Tag_ColorCard,顏色卡
Tag_Monitor,顯示器
Tag_FaceMask,面罩
Tag_Injector,注射器
Tag_Healing,治療
Tag_GunType_AR,突擊步槍
Tag_GunType_BR,戰鬥步槍
Tag_GunType_MAG,機槍
Tag_GunType_PST,手槍
Tag_GunType_Rocket,火箭發射器
Tag_GunType_SHT,霰彈槍
Tag_GunType_SNP,狙擊步槍
Tag_Computer,計算機
Tag_Element,元素彈
Tag_DontDropOnDeadInSlot,死亡不掉落
Tag_Fish,魚
Tag_Fish_OnlyDay,僅白天
Tag_Fish_OnlyNight,僅夜晚
Tag_Fish_OnlyRainDay,僅雨天白天
Tag_Fish_OnlyStorm,僅暴風雨
Tag_Fish_OnlySunDay,僅晴天白天
Tag_Fish_Special,特殊魚類
Tag_AdvancedDebuffMode,高級減益模式
Tag_NotNested,非嵌套
Tag_Bait,魚餌
Tag_Cartridge,彈藥筒/卡帶
Tag_Crop,農作物
Tag_Earthworm,蚯蚓
Tag_FcController,FC手柄
Tag_GamingConsole,遊戲主機
Tag_GunType_ARR,槍械類型_自動步槍
Tag_GunType_PWS,槍械類型_動力武器系統
Tag_Headset,耳機
Tag_JLab,JLab
Tag_LockInDemo,鎖定演示/試玩版
Tag_MiniGame,小遊戲
Tag_Seed,種子
Tag_Shit,Shit
Tag_SoulCube,靈魂方塊
Tag_SpecialKey,特殊鑰匙
Tag_Sticky,粘性物品
Tag_Western,西部風格
Tag_Acc_Candy,糖果槍專用
Tag_SpecialAcc,特殊配件
Tag_Acc_PP19Bizon,Bizon-2專用
Tag_Acc_M14,M14專用
Tag_Acc_RPD,RPD專用
Tag_Acc_CubeGun,能量槍專用
Tag_Acc_SKS,SKS-45專用
Tag_Acc_Mosin,Mosin-Nagant專用
Tag_Acc_Glick,格力克專用
Tag_Acc_Aug,StG 77專用
Tag_Acc_ArcadeGun,玩具槍專用
Tag_SnowLand,雪地
Tag_Acc_AHBow,反曲弓
